Sr.No.,Book Title,Language,Edition,Author/Editor,ISBN Number,Year,View Details,Cover
1,RISER Question Bank on Botany,English,,Anjana Jadon,978-81-979716-0-0,2024,Details,
2,RISER Question Bank on Zoology,English,,Anjana Jadon,978-81-979716-4-8,2024,Details,
3,Environment and Sustainability,English,,Anjana Jadon,978-81-979716-8-6,2024,Details,
4,Contemporary Advances in Science & Technology 8,English,VIII,Raman Singh,978-81-979716-5-5,2024,Details,
5,"Artificial Intelligence in Higher Education Institutions: Transforming Teaching, Learning, and Research",English,,Vikash thada,978-81-979716-6-2,2024,Details,
6,Chemical Techniques in Ancient India,English,,Kuldeep Singh,978-81-979716-9-3,2024,Details,
7,RISER QUESTION BANK on Green Chemistry & Technology,English,,Kuldeep Singh,978-81-979716-3-1,2024,Details,
8,Chemical Techniques in Ancient India,English,,Kuldeep Singh,978-81-979716-2-4,2024,Details,
9,RISER QUESTION BANK ON HETEROCYCLIC CHEMISTRY,English,2,Kuldeep Singh,978-81-979716-1-7,2024,Details,
10,PYTHON PROGRAMMING SIMPLIFIED,English,,Vikash Thada,978-81-979716-7-9,2024,Details,
11,High Energy Materials and Biofuels,English,,Kuldeep Singh,978-81-986231-2-6,2025,Details,
12,Hands-on chemistry: Lab insights in engineeringÂ chemistry,English,,Dr. Sulaxna Sharma,978-81-986231-1-9,2025,Details,
13,Research Methodology for Undergraduate Students,English,,Kuldeep Singh,978-81-986231-9-5,2025,Details,
14,Recent Advances in Applied Sciences (ICRAAS-2025),English,,Bhawna Pareek,978-81-986231-6-4,2025,Details,
15,Selected Experiments in Chemistry,English,,Aarti Dwivedi,978-81-986231-7-1,2025,Details,
16,Exploring Innovation in Technology and Society,English,,Raman Singh,978-81-986231-5-7,2025,Details,
17,"Water Chemistry: Principles, Analysis, and Environmental Applications",English,,Kuldeep Singh,978-81-986231-4-0,2025,Details,
